Rent,Neighborhood,Title,Posting Date,URL,Bed/Bath
$2109,,"2 miles from Boston, Luxury Living, 1 block from SL3, Pet Friendly",Mon 27 Jan 03:36:11 PM,https://boston.craigslist.org/gbs/apa/d/chelsea-2-miles-from-boston-luxury/7064161539.html,2BR / 1Ba
$6574,Boston,"Private courtyard with spectacular landscaping, Vintage, Terrace",Mon 27 Jan 03:30:41 PM,https://boston.craigslist.org/gbs/apa/d/boston-private-courtyard-with/7064157336.html,3BR / 2Ba
$1812,,"❄ Apartments in Tewksbury, Spacious relaxation area, Playground",Mon 27 Jan 03:28:38 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-apartments-in-tewksbury/7064155726.html,2BR / 2Ba
$1750,Needham,"1.5BR Apartment for Rent, Needham $1750/mo",Mon 27 Jan 03:28:09 PM,https://boston.craigslist.org/bmw/apa/d/needham-heights-15br-apartment-for-rent/7064155338.html,1BR / 1Ba
$1787,,"☀ Tewksbury apartment for rent, Spacious living areas, Linen closets",Mon 27 Jan 03:25:51 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-tewksbury-apartment-for-rent/7064153509.html,1BR / 1Ba
$1750,Needham,"2/1.5BR Apartment for Rent, Needham $1750/mo",Mon 27 Jan 03:25:16 PM,https://boston.craigslist.org/bmw/apa/d/needham-heights-2-15br-apartment-for/7064153071.html,2BR / 1Ba
$4040,Boston,"Pet wash station, Full-size washer and dryer, Soaking tub, Flex wall",Mon 27 Jan 03:23:19 PM,https://boston.craigslist.org/gbs/apa/d/boston-pet-wash-station-full-size/7064151558.html,1BR / 1Ba
$1090,Dorchester,One bedroom apartment,Mon 27 Jan 03:22:32 PM,https://boston.craigslist.org/gbs/apa/d/dorchester-center-one-bedroom-apartment/7064150969.html,1BR / 1Ba
$1650,Allston,Allston large studio/one bedroom for rent!,Mon 27 Jan 03:20:19 PM,https://boston.craigslist.org/gbs/apa/d/allston-allston-large-studio-one/7064149282.html,1BR / 1Ba
$2050,Bridgewater,Two Bed/Two Bath*,Mon 27 Jan 03:12:46 PM,https://boston.craigslist.org/gbs/apa/d/bridgewater-two-bed-two-bath/7064143493.html,2BR / 2Ba
$1987,,"♥ Tewksbury Apartment Homes, Spacious living areas, Billiards Area",Mon 27 Jan 02:56:27 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-tewksbury-apartment-homes/7064130291.html,2BR / 2Ba
$1150,CAMBRIDGE,ROOM/ DAVIS SQ/REDLINE/ HEAT AND PARKING INC/ HARVARD/MIT,Mon 27 Jan 02:55:33 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-room-davis-sq-redline-heat/7064129525.html,1BR / 1Ba
$3300,Back Bay,Gorgeous 1 Bed Penthouse on Marlborough St w/ Private Deck!,Mon 27 Jan 02:55:15 PM,https://boston.craigslist.org/gbs/apa/d/boston-gorgeous-1-bed-penthouse-on/7064129245.html,1BR / 1Ba
$2262,,"☆ Apartment Home in Tewksbury, Linen closets, 24 Hour Package Service",Mon 27 Jan 02:54:45 PM,https://boston.craigslist.org/sob/apa/d/tewksbury-apartment-home-in-tewksbury/7064128840.html,3BR / 2Ba
$1920,North shore/Boston/Saugus,"♥ Spacious apartments in SAUGUS, Generous Closet Space",Mon 27 Jan 02:41:46 PM,https://boston.craigslist.org/nos/apa/d/saugus-spacious-apartments-in-saugus/7064119451.html,1BR / 1Ba
$2100,North shore/Boston/Saugus,BLOW OUT RATES,Mon 27 Jan 02:36:46 PM,https://boston.craigslist.org/nos/apa/d/saugus-blow-out-rates/7064115494.html,1BR / 1Ba
$2435,NorthShore/Boston/Saugus,"☀ SAUGUS apartment for rent, Newly Renovated Units, Central A/C",Mon 27 Jan 02:35:46 PM,https://boston.craigslist.org/nos/apa/d/saugus-saugus-apartment-for-rent-newly/7064114662.html,2BR / 2Ba
$1000,Boston,Affordable Back Bay Studio Apt - Right off Newbury St,Mon 27 Jan 02:33:45 PM,https://boston.craigslist.org/gbs/apa/d/boston-affordable-back-bay-studio-apt/7064112881.html,0BR / 1Ba
$1950,Watertown,"Stunning 2 br 1ba 1st fl Natural WW, FP, HW W&D 1 CAR Bus to HVD 3/1",Mon 27 Jan 02:24:56 PM,https://boston.craigslist.org/gbs/apa/d/watertown-stunning-2-br-1ba-1st-fl/7064105548.html,2BR / 1Ba
$300,Somerville,Artist Studio in the Heart Union Square Somerville - Available Now!,Mon 27 Jan 02:18:30 PM,https://boston.craigslist.org/gbs/apa/d/roslindale-artist-studio-in-the-heart/7064100195.html,
$1850,"200 Mountain Ave, Malden",1 Bedroom - No Fee! Available 2/1,Mon 27 Jan 02:12:35 PM,https://boston.craigslist.org/gbs/apa/d/brookline-1-bedroom-no-fee-available-2-1/7064095286.html,1BR / 1Ba
$1925,,"☆ Apartment Home in Bellingham, Barbeque Area, Community dining area",Mon 27 Jan 02:08:14 PM,https://boston.craigslist.org/bmw/apa/d/bellingham-apartment-home-in-bellingham/7064091582.html,1BR / 1Ba
$1750,Newton Highlands,No Broker Fee: 1 bedroom with nice covered deck,Mon 27 Jan 02:04:05 PM,https://boston.craigslist.org/bmw/apa/d/newton-highlands-no-broker-fee-1/7064088055.html,
$1000,Whitman,1 Bedroom Apartment,Mon 27 Jan 01:55:30 PM,https://boston.craigslist.org/sob/apa/d/whitman-1-bedroom-apartment/7064080534.html,1BR / 1Ba
$1950,"Back Bay, Prudential, Copley, Downtown","COMM AVE - RARE LUXURY STUDIO W/ ROOF DECK! LNDRY, 6/1",Mon 27 Jan 01:47:12 PM,https://boston.craigslist.org/gbs/apa/d/boston-comm-ave-rare-luxury-studio-roof/7064073512.html,0BR / 1Ba
$1900,Natick,2 Bedroom/1 Bath in 2 Family Home,Mon 27 Jan 01:44:21 PM,https://boston.craigslist.org/nwb/apa/d/natick-2-bedroom-1-bath-in-2-family-home/7064071047.html,2BR / 1Ba
$1350,Woburn,"1br Apt near High Tech Beltway, mile from I-95",Mon 27 Jan 01:42:32 PM,https://boston.craigslist.org/nos/apa/d/woburn-1br-apt-near-high-tech-beltway/7064069444.html,1BR / 1Ba
$1809,,"2 miles from Boston, Commuters Dream, Luxury living, pet friendly",Mon 27 Jan 01:39:48 PM,https://boston.craigslist.org/gbs/apa/d/chelsea-2-miles-from-boston-commuters/7064067047.html,1BR / 1Ba
$4000,Boston College (caltha Road),"9/1, 4beds, By-T, 5mints walk to Boston College Campus",Mon 27 Jan 01:36:11 PM,https://boston.craigslist.org/gbs/apa/d/brighton-9-1-4beds-by-5mints-walk-to/7064063963.html,4BR / 1Ba
$1695,Fenway,Studio in Great Fenway location!! Avail. June 1!!,Mon 27 Jan 01:31:44 PM,https://boston.craigslist.org/gbs/apa/d/boston-studio-in-great-fenway-location/7064060101.html,0BR / 1Ba
$4400,Cambridge,WALK to CENTRAL / MIT / KENDALL SUNNY UNIT LARGE ROOMS SEP 1,Mon 27 Jan 01:28:26 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-walk-to-central-mit-kendall/7064057336.html,4BR / 1Ba
$1850,Allston,"Cool Kelton St. 1BD, Near Green Line, hdwd flrs, Near Corey Hill",Mon 27 Jan 01:27:32 PM,https://boston.craigslist.org/gbs/apa/d/brookline-cool-kelton-st-1bd-near-green/7064056579.html,1BR / 1Ba
$1000,North Attleboro,1st Flr 1 Bdrm – PERFECT LOCA,Mon 27 Jan 01:18:04 PM,https://boston.craigslist.org/gbs/apa/d/north-attleboro-1st-flr-1-bdrm-perfect/7064048379.html,1BR / 0Ba
$1695,Cambridge,Brand New Furnished Room for rent in Cambridge!Red line close by!!!!!!,Mon 27 Jan 01:09:44 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-brand-new-furnished-room-for/7064041549.html,1BR / 1Ba
$2600,South End - Back Bay,Furnished with EIK -  March 1,Mon 27 Jan 01:09:30 PM,https://boston.craigslist.org/gbs/apa/d/boston-furnished-with-eik-march-1/7064041348.html,1BR / 1Ba
$2400,Newton -ville near Charles River,"Top floor: just renovated: New Kitchen, baths, floors: Avail. Now!",Mon 27 Jan 01:01:43 PM,https://boston.craigslist.org/bmw/apa/d/waltham-top-floor-just-renovated-new/7064034600.html,2BR / 2Ba
$2375,North Andover,Brand New! Never Been Lived In! Great Location! **1st Month Free!!**,Mon 27 Jan 12:50:28 PM,https://boston.craigslist.org/nwb/apa/d/north-andover-brand-new-never-been/7064024994.html,2BR / 2Ba
$3200,Boston,2 Bed split on Charlesgate for 9/1/2020,Mon 27 Jan 12:47:06 PM,https://boston.craigslist.org/gbs/apa/d/boston-2-bed-split-on-charlesgate-for/7064022147.html,
$2600,Boston,No FEE - North End- 2 BDRM DUPLEX - AVAIL. 7/1,Mon 27 Jan 12:38:14 PM,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-north-end-2-bdrm-duplex/7064014637.html,
$1800,N. Framingham,1 bedroom,Mon 27 Jan 12:36:20 PM,https://boston.craigslist.org/bmw/apa/d/framingham-1-bedroom/7064013010.html,1BR / 1Ba
$3500,"Fenway, Longwood, Simmons, Emmanuel, NEU","EDGERLY RD - SPACIOUS MODERN 2BD  LNDRY IN UNIT, STUDENT OK, 9/1/19",Mon 27 Jan 12:24:56 PM,https://boston.craigslist.org/gbs/apa/d/boston-edgerly-rd-spacious-modern-2bd/7064002927.html,2BR / 1Ba
$1550,Melrose,"FEB 1 or FEB 15 - Sunny One Bedroom, Walk to Highlands MBTA",Mon 27 Jan 12:23:47 PM,https://boston.craigslist.org/nos/apa/d/melrose-feb-1-or-feb-15-sunny-one/7064001848.html,1BR / 1Ba
$6000,Newton Centre,Newton Classic Tudor House Available July,Mon 27 Jan 12:20:55 PM,https://boston.craigslist.org/gbs/apa/d/nonantum-newton-classic-tudor-house/7063999422.html,4BR / 3.5Ba
$3800,Boston,NO FEE - North End - Spacious 2 BDRM - AVAIL 8/1,Mon 27 Jan 12:17:39 PM,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-north-end-spacious-2-bdrm/7063996454.html,
$4000,"Cambridge, Kendall Square, Central Squar",PLYMOUTH ST - HUGE 4 BED BETWEEN KENDALL & INMAN NEAR RED LINE!,Mon 27 Jan 12:10:21 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-plymouth-st-huge-4-bed/7063989973.html,4BR / 2Ba
$1950,Swampscott,Beautiful private guest house 1BD 1BA utilities included,Mon 27 Jan 12:10:09 PM,https://boston.craigslist.org/nos/apa/d/swampscott-beautiful-private-guest/7063989798.html,1BR / 1Ba
$1863,Braintree,"Furnished apartments available, Upgraded espresso cabinetry, Dog park",Mon 27 Jan 12:01:35 PM,https://boston.craigslist.org/sob/apa/d/braintree-furnished-apartments/7063981942.html,1BR / 1Ba
$2737,Waltham,"Balcony, BBQ grills, FITNESS on Demand, Air conditioning, Soaking tub",Mon 27 Jan 11:59:13 AM,https://boston.craigslist.org/bmw/apa/d/waltham-balcony-bbq-grills-fitness-on/7063979717.html,2BR / 2Ba
$3500,BROOKLINE *Coolidge Corner*,Coolidge Corner-Huge BROOKLINE 3br+Office/2BATH~HEAT/HW INCL~Deck~Pkng,Mon 27 Jan 11:52:39 AM,https://boston.craigslist.org/gbs/apa/d/brookline-coolidge-corner-huge/7063974289.html,3BR / 2Ba
$3800,"Cambridge, Kendall Square, Inman Square","Huge Plymouth St. 3 bd DUPLEX, Parking, Laundry, No Pets, Avail 9/1/20",Mon 27 Jan 11:46:49 AM,https://boston.craigslist.org/gbs/apa/d/cambridge-huge-plymouth-st-3-bd-duplex/7063969263.html,3BR / 1Ba
